number,account,survey_id,treat_type,auth,time_added,first_drawing_id
1,1,205691,lottery,1,6/16/14 4:05,26
53457,53457,106824,interest,1,6/11/14 23:45,22
93675,93675,109313,lottery,1,0000-00-00 00:00:00,1
243215,243215,150940,regret,1,6/13/14 3:09,23
274843,274843,265879,regret,1,6/16/14 4:05,26
343731,343731,160722,lottery,1,6/16/14 4:05,26
378628,378628,198707,regret,1,6/13/14 3:09,23
486663,486663,158049,lottery,1,6/12/14 3:32,22
571959,571959,199688,lottery,1,0000-00-00 00:00:00,15
641858,641858,264582,regret,1,6/11/14 23:45,22
1002538,1002538,218246,lottery,1,0000-00-00 00:00:00,15
1132205,1132205,270555,lottery,1,6/11/14 3:46,21
1575438,1575438,298915,regret,1,6/16/14 4:05,26
1726768,1726768,202660,regret,1,0000-00-00 00:00:00,13
1983959,1983959,192716,lottery,1,6/13/14 0:19,23
2430935,2430935,178652,regret,1,6/16/14 4:05,26
2501654,2501654,206651,lottery,1,6/13/14 0:19,23
2743370,2743370,137982,lottery,1,6/11/14 3:46,21
2803645,2803645,166179,lottery,1,6/16/14 23:48,27
3068475,3068475,125047,interest,1,0000-00-00 00:00:00,1
3092458,3092458,281044,regret,1,6/11/14 3:46,21
3200248,3200248,182623,lottery,1,0000-00-00 00:00:00,19
3314125,3314125,110218,lottery,1,0000-00-00 00:00:00,13
3402642,3402642,137297,regret,1,6/11/14 3:46,21
3554215,3554215,248893,lottery,1,6/16/14 4:05,26
3651512,3651512,0,,0,5/22/14 4:26,0
3672396,3672396,199180,lottery,1,0000-00-00 00:00:00,13
3855633,3855633,176187,interest,1,6/10/14 6:33,20
3875697,3875697,137917,lottery,1,6/10/14 0:01,20
4101463,4101463,155254,regret,1,0000-00-00 00:00:00,15
4198623,4198623,250686,lottery,1,6/16/14 1:19,26
4238396,4238396,129032,interest,1,6/11/14 23:45,22
4301514,4301514,208815,lottery,1,6/13/14 3:09,23
4348548,4348548,241677,regret,1,0000-00-00 00:00:00,19
4486437,4486437,178417,interest,1,6/9/14 4:41,19
4610090,4610090,117834,lottery,1,6/11/14 23:45,22
5129054,5129054,396872,regret,1,6/13/14 3:09,23
5411173,5411173,218725,interest,1,0000-00-00 00:00:00,15
5782840,5782840,210307,lottery,1,6/9/14 4:41,19
5852983,5852983,1,interest,1,5/23/14 5:49,1
6041738,6041738,269571,lottery,1,6/16/14 23:48,27
6142669,6142669,175594,interest,1,6/11/14 3:46,21
6299472,6299472,261210,regret,1,6/9/14 4:41,19
6373336,6373336,101266,interest,1,0000-00-00 00:00:00,1
6396303,6396303,289876,interest,1,6/11/14 23:45,22
6597361,6597361,159608,regret,1,6/13/14 0:19,23
6626578,6626578,228070,lottery,1,0000-00-00 00:00:00,19
6744973,6744973,194313,interest,1,6/12/14 3:32,22
6816216,6816216,132992,lottery,1,0000-00-00 00:00:00,1
6982027,6982027,202126,interest,1,6/13/14 0:19,23
7241803,7241803,100334,interest,1,0000-00-00 00:00:00,1
7243729,7243729,218280,lottery,1,6/9/14 4:41,19
7416966,7416966,255922,lottery,1,0000-00-00 00:00:00,13
7432052,7432052,124242,regret,1,6/11/14 23:45,22
7435466,7435466,0,,0,6/18/14 0:10,0
7458031,7458031,120258,interest,1,6/12/14 3:32,22
7694258,7694258,166355,interest,1,0000-00-00 00:00:00,15
8059307,8059307,196399,regret,1,6/13/14 0:19,23
8104224,8104224,367251,interest,1,6/11/14 23:45,22
8266688,8266688,125932,interest,1,0000-00-00 00:00:00,13
8323186,8323186,176422,lottery,1,0000-00-00 00:00:00,15
10028142,10028142,201737,regret,1,6/11/14 23:45,22
10089197,10089197,110171,interest,1,6/10/14 0:01,20
10245986,10245986,168745,lottery,1,6/10/14 3:53,20
10342457,10342457,109319,interest,1,6/16/14 1:19,26
10381676,10381676,108649,interest,1,0000-00-00 00:00:00,19
10489810,10489810,128097,regret,1,0000-00-00 00:00:00,15
10640450,10640450,210016,lottery,1,6/10/14 3:53,20
10687091,10687091,214337,interest,1,6/9/14 4:41,19
10690530,10690530,234068,interest,1,6/12/14 3:32,22
10720918,10720918,266039,lottery,1,6/11/14 23:45,22
10828524,10828524,212114,regret,1,6/9/14 4:41,19
10856045,10856045,153643,regret,1,6/16/14 23:48,27
11126286,11126286,199772,regret,1,6/10/14 4:01,20
11128902,11128902,115018,lottery,1,6/11/14 3:46,21
11227580,11227580,105346,regret,1,0000-00-00 00:00:00,1
11325322,11325322,136937,interest,1,6/13/14 3:09,23
11504748,11504748,157615,interest,1,0000-00-00 00:00:00,19
11524913,11524913,190649,regret,1,0000-00-00 00:00:00,19
11555748,11555748,106638,interest,1,0000-00-00 00:00:00,1
12199140,12199140,143621,regret,1,0000-00-00 00:00:00,1
12203570,12203570,108810,interest,1,6/10/14 0:01,20
12232434,12232434,196587,lottery,1,0000-00-00 00:00:00,15
12283821,12283821,191447,lottery,1,6/16/14 1:19,26
12292738,12292738,227692,regret,1,6/16/14 23:48,27
12307202,12307202,168298,lottery,1,6/12/14 3:32,22
12385366,12385366,179177,regret,1,0000-00-00 00:00:00,13
12649563,12649563,245130,lottery,1,6/16/14 23:48,27
12668066,12668066,151435,regret,1,6/10/14 3:53,20
12790115,12790115,143655,lottery,1,0000-00-00 00:00:00,15
12978020,12978020,138769,lottery,1,6/16/14 23:48,27
13148304,13148304,235500,interest,1,6/11/14 23:45,22
13233585,13233585,222951,interest,1,6/16/14 4:05,26
13308001,13308001,114392,interest,1,0000-00-00 00:00:00,15
13311660,13311660,187544,regret,1,6/9/14 4:41,19
13473690,13473690,162765,regret,1,0000-00-00 00:00:00,13
13477247,13477247,304068,regret,1,6/16/14 1:19,26
13497150,13497150,156426,interest,1,6/16/14 23:48,27
13555825,13555825,188698,regret,1,0000-00-00 00:00:00,15
13577028,13577028,195852,interest,1,0000-00-00 00:00:00,19
13582838,13582838,273006,lottery,1,6/9/14 4:41,19
13725758,13725758,125181,regret,1,0000-00-00 00:00:00,1
13743734,13743734,237766,lottery,1,6/12/14 3:32,22
13856985,13856985,168310,interest,1,6/16/14 23:48,27
14434493,14434493,191194,regret,1,6/10/14 3:53,20
14481345,14481345,191921,interest,1,0000-00-00 00:00:00,19
14534873,14534873,174401,lottery,1,0000-00-00 00:00:00,13
14564237,14564237,227585,lottery,1,6/12/14 3:32,22
14679546,14679546,196026,regret,1,6/10/14 3:53,20
14702401,14702401,173752,interest,1,6/10/14 4:01,20
14780962,14780962,178486,interest,1,6/13/14 3:09,23
14783925,14783925,211823,regret,1,6/9/14 4:59,19
14866723,14866723,114005,lottery,1,6/10/14 3:53,20
14990850,14990850,106112,regret,1,6/10/14 3:53,20
15221342,15221342,138025,regret,1,6/13/14 0:19,23
15269459,15269459,205319,lottery,1,6/16/14 23:48,27
15271805,15271805,291048,regret,1,0000-00-00 00:00:00,19
15367175,15367175,223910,regret,1,6/16/14 1:19,26
15633805,15633805,115060,interest,1,6/16/14 4:05,26
15736812,15736812,291539,lottery,1,6/10/14 0:01,20
16010306,16010306,266387,interest,1,6/13/14 3:09,23
16057493,16057493,275786,lottery,1,6/10/14 0:01,20
16066193,16066193,144208,lottery,1,0000-00-00 00:00:00,19
16109108,16109108,2,lottery,1,5/23/14 5:50,1
16154644,16154644,269288,interest,1,6/16/14 23:48,27
16165131,16165131,113730,regret,1,6/16/14 1:19,26
16262690,16262690,210014,lottery,1,0000-00-00 00:00:00,19
16280538,16280538,114977,interest,1,0000-00-00 00:00:00,13
#VALUE!,#VALUE!,0,,0,6/3/14 5:54,0
16286862,16286862,211365,lottery,1,6/11/14 3:46,21
16392764,16392764,214315,interest,1,6/9/14 4:41,19
16409822,16409822,157138,regret,1,6/16/14 23:48,27
16560249,16560249,261913,interest,1,6/9/14 4:41,19
16593230,16593230,131592,lottery,1,6/9/14 4:41,19
16740270,16740270,145738,regret,1,0000-00-00 00:00:00,19
16758097,16758097,118690,lottery,1,0000-00-00 00:00:00,1
17535908,17535908,267625,interest,1,6/10/14 3:53,20
17592505,17592505,229802,regret,1,6/12/14 3:32,22
17703941,17703941,116865,regret,1,0000-00-00 00:00:00,13
17927762,17927762,139505,lottery,1,0000-00-00 00:00:00,13
17945871,17945871,205587,lottery,1,6/16/14 1:19,26
17973764,17973764,261915,regret,1,6/13/14 3:09,23
18149263,18149263,203375,interest,1,6/10/14 0:01,20
18272448,18272448,272126,lottery,1,0000-00-00 00:00:00,19
18288610,18288610,139163,regret,1,0000-00-00 00:00:00,15
18493770,18493770,105992,interest,1,6/11/14 3:46,21
18625150,18625150,237850,interest,1,6/16/14 1:19,26
18691569,18691569,164651,regret,1,6/10/14 3:53,20
18796282,18796282,190431,interest,1,6/16/14 1:19,26
18826291,18826291,3,regret,1,5/23/14 5:51,1
19128736,19128736,197460,interest,1,6/10/14 0:01,20
19171538,19171538,200088,lottery,1,6/11/14 23:45,22
19265311,19265311,124099,lottery,1,6/13/14 3:09,23
19269775,19269775,156526,lottery,1,0000-00-00 00:00:00,19
19506415,19506415,110343,interest,1,6/13/14 1:01,23
19620712,19620712,200126,lottery,1,6/12/14 3:32,22
19656732,19656732,263153,lottery,1,6/12/14 3:32,22
19728100,19728100,140955,lottery,1,0000-00-00 00:00:00,19
19764965,19764965,147677,interest,1,6/10/14 4:01,20
19912521,19912521,169770,regret,1,6/11/14 3:46,21
19950916,19950916,253729,regret,1,6/16/14 1:19,26
20127067,20127067,174638,regret,1,6/12/14 3:32,22
20131972,20131972,131576,lottery,1,0000-00-00 00:00:00,15
20156247,20156247,195850,interest,1,6/16/14 1:19,26
20207735,20207735,126918,interest,1,0000-00-00 00:00:00,1
20277499,20277499,136881,lottery,1,6/16/14 4:05,26
20371646,20371646,259070,lottery,1,6/16/14 1:19,26
20449967,20449967,130326,regret,1,6/9/14 4:41,19
20516264,20516264,145296,lottery,1,6/16/14 23:48,27
20586335,20586335,214754,regret,1,0000-00-00 00:00:00,13
20633244,20633244,229678,regret,1,6/13/14 0:19,23
20682656,20682656,103068,interest,1,6/16/14 23:48,27
20764330,20764330,137029,regret,1,6/16/14 23:48,27
20833066,20833066,248524,lottery,1,6/12/14 3:32,22
20855848,20855848,123733,regret,1,6/16/14 4:05,26
21023813,21023813,178712,lottery,1,6/13/14 0:19,23
21028562,21028562,226739,interest,1,6/16/14 4:05,26
21126563,21126563,229773,regret,1,6/10/14 0:01,20
