account,amount,time,refund,prize,period
3651512,20,5/22/14 14:26,0,0,2
12199140,5,5/22/14 14:27,0,0,1
7241803,10,5/22/14 14:27,0,0,1
29395910,20,5/22/14 14:27,0,0,1
11227580,20,5/22/14 14:28,0,0,1
26541545,20,5/22/14 14:28,0,0,1
93675,20,5/22/14 14:29,0,0,1
27467048,15,5/22/14 14:30,0,0,1
16758097,20,5/22/14 14:31,0,0,1
22789676,20,5/22/14 14:31,0,0,1
25576269,50,5/22/14 16:00,0,0,1
22789676,20,5/22/14 16:10,0,0,1
16758097,10,5/22/14 16:19,0,0,1
3068475,20,5/22/14 17:35,0,0,1
28853993,20,5/22/14 19:01,0,0,1
22514262,20,5/22/14 22:01,0,0,1
22514262,10,5/23/14 8:10,0,0,2
22789676,10,5/23/14 8:32,0,0,2
25576269,15,5/23/14 9:16,0,0,2
27852614,10,5/23/14 9:16,0,0,2
16758097,10,5/23/14 9:20,0,0,2
93675,30,5/23/14 9:27,0,0,2
93675,10,5/23/14 9:34,0,0,2
25576269,35,5/23/14 10:02,0,0,2
7241803,5,5/23/14 10:45,0,0,2
13725758,20,5/23/14 11:48,0,0,2
28853993,15,5/23/14 12:04,0,0,2
28853993,15,5/23/14 12:04,0,0,2
7241803,5,5/23/14 15:37,0,0,2
11227580,10,5/23/14 15:53,0,0,2
6816216,20,5/23/14 16:05,0,0,2
13725758,20,5/23/14 16:08,0,0,2
16758097,10,5/24/14 2:35,0,0,2
27852614,10,5/24/14 7:34,0,0,2
93675,40,5/24/14 7:56,0,0,2
7241803,0.5,5/24/14 8:01,0,1,2
22514262,1,5/24/14 8:01,0,1,2
27852614,1,5/24/14 8:01,0,1,2
22514262,20,5/24/14 8:04,0,0,3
23122082,20,5/24/14 9:18,0,0,3
23122082,20,5/24/14 9:19,0,0,3
25576269,10,5/24/14 10:26,0,0,3
22514262,10,5/24/14 10:55,0,0,3
7241803,5,5/24/14 12:19,0,0,3
26541545,30,5/24/14 13:53,0,0,3
29395910,20,5/24/14 18:06,0,0,3
16758097,20,5/24/14 19:51,0,0,3
22514262,10,5/25/14 7:05,0,0,3
27852614,10,5/25/14 7:46,0,0,3
25576269,20,5/25/14 7:46,0,0,3
7241803,0.25,5/25/14 8:01,0,1,3
26541545,3,5/25/14 8:01,0,1,3
27852614,0.5,5/25/14 8:01,0,1,3
29395910,1,5/25/14 8:01,0,1,3
16758097,10,5/25/14 8:40,0,0,4
27852614,10,5/25/14 8:42,0,0,4
26541545,40,5/25/14 10:07,0,0,4
23122082,20,5/25/14 11:43,0,0,4
23122082,20,5/25/14 11:43,0,0,4
16758097,10,5/25/14 13:19,0,0,4
22789676,20,5/25/14 13:19,0,0,4
29395910,20,5/25/14 13:25,0,0,4
93675,95,5/25/14 14:30,0,0,4
16758097,10,5/25/14 16:11,0,0,4
27852614,0.5,5/26/14 8:02,0,1,4
29395910,1,5/26/14 8:02,0,1,4
22514262,5,5/26/14 8:19,0,0,5
25576269,50,5/26/14 8:32,0,0,5
93675,95,5/26/14 8:45,0,0,5
26541545,50,5/26/14 9:19,0,0,5
22789676,10,5/26/14 11:03,0,0,5
29395910,20,5/26/14 12:03,0,0,5
16109108,5,5/26/14 12:56,0,0,5
16109108,5,5/26/14 12:56,0,0,5
16109108,5,5/26/14 12:56,0,0,5
16109108,5,5/26/14 13:03,0,0,5
16109108,5,5/26/14 13:04,0,0,5
16758097,10,5/26/14 13:38,0,0,5
11555748,10,5/26/14 16:06,0,0,5
22514262,10,5/26/14 17:31,0,0,5
27852614,10,5/26/14 19:13,0,0,5
22514262,20,5/27/14 7:30,0,0,5
23122082,30,5/27/14 7:44,0,0,5
23122082,20,5/27/14 7:48,0,0,5
11555748,0.5,5/27/14 8:02,0,1,5
27852614,0.5,5/27/14 8:02,0,1,5
29395910,1,5/27/14 8:02,0,1,5
25576269,20,5/27/14 8:46,0,0,6
5852983,5,5/27/14 9:02,0,0,6
93675,95,5/27/14 9:06,0,0,6
29395910,20,5/27/14 10:36,0,0,6
26541545,50,5/27/14 10:38,0,0,6
22514262,10,5/27/14 11:10,0,0,6
28853993,-15,5/27/14 12:43,0,0,6
22789676,20,5/27/14 17:43,0,0,6
27852614,10,5/27/14 17:44,0,0,6
25576269,20,5/28/14 8:01,0,0,6
93675,9.5,5/28/14 8:02,0,1,6
5852983,0.25,5/28/14 8:02,0,1,6
27852614,0.5,5/28/14 8:02,0,1,6
29395910,1,5/28/14 8:02,0,1,6
18826291,5,5/28/14 8:15,0,0,7
93675,115,5/28/14 8:18,0,0,7
11555748,20,5/28/14 8:44,0,0,7
26541545,20,5/28/14 9:11,0,0,7
27852614,10,5/28/14 17:33,0,0,7
26541545,15,5/28/14 20:25,0,0,7
11555748,1,5/29/14 8:02,0,1,7
27852614,0.5,5/29/14 8:02,0,1,7
11555748,35,5/29/14 8:21,0,0,8
25576269,35,5/29/14 8:35,0,0,8
22514262,10,5/29/14 9:29,0,0,8
22789676,20,5/29/14 12:56,0,0,8
7241803,5,5/29/14 18:55,0,0,8
26541545,10,5/29/14 19:44,0,0,8
93675,80,5/29/14 19:48,0,0,8
27852614,10,5/29/14 20:38,0,0,8
3068475,5,5/29/14 23:09,0,0,8
3068475,0.25,5/30/14 8:02,0,1,8
7241803,0.25,5/30/14 8:02,0,1,8
11555748,1.75,5/30/14 8:02,0,1,8
27852614,0.5,5/30/14 8:02,0,1,8
22514262,10,5/30/14 17:44,0,0,9
22789676,10,5/30/14 18:51,0,0,9
26541545,15,5/30/14 19:57,0,0,9
93675,90,5/30/14 21:10,0,0,9
93675,190,5/31/14 7:11,0,0,9
93675,-190,5/31/14 7:11,1,0,9
27852614,10,5/31/14 7:18,0,0,9
27852614,0.5,5/31/14 8:02,0,1,9
16758097,10,5/31/14 11:14,0,0,10
12199140,20,5/31/14 11:23,0,0,10
11555748,20,5/31/14 14:02,0,0,10
22789676,20,5/31/14 17:46,0,0,10
22514262,10,5/31/14 19:37,0,0,10
26541545,40,5/31/14 20:15,0,0,10
93675,100,5/31/14 21:29,0,0,10
25576269,15,6/1/14 7:46,0,0,10
11555748,1,6/1/14 8:02,0,1,10
7241803,5,6/1/14 8:53,0,0,11
93675,50,6/1/14 8:56,0,0,11
26541545,30,6/1/14 9:28,0,0,11
27852614,20,6/1/14 9:30,0,0,11
22789676,20,6/1/14 13:23,0,0,11
16758097,10,6/1/14 18:38,0,0,11
22514262,10,6/1/14 21:38,0,0,11
7241803,0.25,6/2/14 8:02,0,1,11
27852614,1,6/2/14 8:02,0,1,11
7241803,5,6/2/14 8:40,0,0,12
26541545,40,6/2/14 11:33,0,0,12
16758097,20,6/2/14 12:07,0,0,12
22789676,20,6/2/14 15:19,0,0,12
23122082,80,6/2/14 15:43,0,0,12
22789676,10,6/2/14 16:45,0,0,12
93675,95,6/2/14 19:12,0,0,12
22514262,5,6/2/14 19:55,0,0,12
7241803,0.25,6/3/14 8:02,0,1,12
16758097,2,6/3/14 8:02,0,1,12
26541545,40,6/3/14 8:02,0,1,12
27852614,10,6/3/14 8:42,0,0,13
26541545,30,6/3/14 9:33,0,0,13
11555748,20,6/3/14 14:59,0,0,13
17703941,20,6/3/14 15:49,0,0,1
26702122,10,6/3/14 15:50,0,0,1
24226257,20,6/3/14 15:53,0,0,1
28677734,20,6/3/14 15:53,0,0,1
3672396,10,6/3/14 15:54,0,0,1
16280538,20,6/3/14 15:54,0,0,1
24433466,20,6/3/14 15:54,0,0,1
14534873,15,6/3/14 15:56,0,0,1
3314125,20,6/3/14 15:59,0,0,1
27221845,20,6/3/14 15:59,0,0,1
28840947,10,6/3/14 16:27,0,0,1
22789676,10,6/3/14 17:14,0,0,13
7416966,10,6/3/14 17:28,0,0,1
3672396,10,6/3/14 18:33,0,0,1
29180435,10,6/3/14 19:15,0,0,1
8266688,20,6/3/14 20:15,0,0,1
23122082,70,6/3/14 23:12,0,0,13
26541545,40,6/4/14 7:34,0,0,13
24433466,30,6/4/14 7:34,0,0,1
3672396,2,6/4/14 8:02,0,1,1
8266688,1,6/4/14 8:02,0,1,1
11555748,1,6/4/14 8:02,0,1,13
14534873,1.5,6/4/14 8:02,0,1,1
24433466,2.5,6/4/14 8:02,0,1,1
27852614,0.5,6/4/14 8:02,0,1,13
25576269,20,6/4/14 8:14,0,0,14
16109108,5,6/4/14 10:12,0,0,14
3314125,20,6/4/14 10:15,0,0,2
16109108,5,6/4/14 10:20,0,0,14
93675,80,6/4/14 10:35,0,0,14
26702122,20,6/4/14 10:55,0,0,2
16109108,5,6/4/14 11:00,0,0,14
17703941,30,6/4/14 14:24,0,0,2
17703941,10,6/4/14 14:34,0,0,2
7416966,10,6/4/14 15:35,0,0,2
20586335,20,6/4/14 17:26,0,0,2
22514262,10,6/4/14 17:37,0,0,14
12385366,60,6/4/14 18:52,0,0,2
