ticket id,account,participant ticket,winning ticket,match type,awarded,period,time
1,11227580,3480,8937,0,0,2,5/22/14 2:24
2,12199140,4780,8937,0,0,2,5/22/14 2:24
3,13725758,4150,8937,0,0,2,5/22/14 2:24
4,22514262,2140,8937,0,0,2,5/22/14 2:24
5,25576269,7740,8937,0,0,2,5/22/14 2:24
6,26541545,2030,8937,0,0,2,5/22/14 2:24
7,22514262,740,8469,0,1,3,5/23/14 8:10
8,11227580,9050,8469,0,1,3,5/23/14 8:31
9,12199140,940,8469,0,0,3,5/23/14 8:31
10,13725758,6800,8469,0,1,3,5/23/14 8:31
11,22514262,6430,8469,1,0,3,5/23/14 8:31
12,25576269,9860,8469,0,1,3,5/23/14 8:31
13,26541545,4500,8469,0,0,3,5/23/14 8:31
14,22789676,3640,8469,0,1,3,5/23/14 8:32
15,27852614,640,8469,0,1,3,5/23/14 9:16
16,16758097,7860,8469,0,1,3,5/23/14 9:20
17,93675,9250,8469,0,1,3,5/23/14 9:27
18,7241803,2890,8469,0,1,3,5/23/14 10:45
19,28853993,6910,8469,0,1,3,5/23/14 12:04
20,6816216,1940,8469,0,1,3,5/23/14 16:05
21,22514262,2740,4468,0,1,4,5/24/14 8:04
22,11227580,9000,4468,0,0,4,5/24/14 8:31
23,12199140,170,4468,0,0,4,5/24/14 8:31
24,13725758,8780,4468,0,0,4,5/24/14 8:31
25,18826291,1210,4468,0,0,4,5/24/14 8:31
26,22514262,2760,4468,0,1,4,5/24/14 8:31
27,25576269,6350,4468,0,1,4,5/24/14 8:31
28,26541545,4140,4468,1,1,4,5/24/14 8:31
29,23122082,2090,4468,0,1,4,5/24/14 9:18
30,7241803,6850,4468,0,1,4,5/24/14 12:19
31,29395910,9180,4468,0,1,4,5/24/14 18:06
32,16758097,7720,4468,0,1,4,5/24/14 19:51
33,27852614,5200,4468,0,1,4,5/25/14 7:46
34,11227580,3130,1403,0,0,5,5/25/14 8:31
35,12199140,5020,1403,0,0,5,5/25/14 8:31
36,13725758,5750,1403,0,0,5,5/25/14 8:31
37,18826291,9620,1403,0,0,5,5/25/14 8:31
38,22514262,9480,1403,1,0,5,5/25/14 8:31
39,25576269,5050,1403,0,0,5,5/25/14 8:31
40,26541545,550,1403,0,1,5,5/25/14 8:31
41,16758097,2170,1403,0,1,5,5/25/14 8:40
42,27852614,820,1403,0,1,5,5/25/14 8:42
43,23122082,4760,1403,0,1,5,5/25/14 11:43
44,22789676,4790,1403,0,1,5,5/25/14 13:19
45,29395910,1710,1403,1,1,5,5/25/14 13:25
46,93675,4220,1403,0,1,5,5/25/14 14:30
47,22514262,6770,2040,0,1,6,5/26/14 8:19
48,11227580,1580,2040,0,0,6,5/26/14 8:32
49,12199140,750,2040,0,0,6,5/26/14 8:32
50,13725758,700,2040,0,0,6,5/26/14 8:32
51,18826291,8870,2040,0,0,6,5/26/14 8:32
52,22514262,9660,2040,0,1,6,5/26/14 8:32
53,25576269,6760,2040,0,1,6,5/26/14 8:32
54,26541545,8890,2040,0,1,6,5/26/14 8:32
55,93675,4760,2040,0,1,6,5/26/14 8:45
56,22789676,7270,2040,0,1,6,5/26/14 11:03
57,29395910,400,2040,0,1,6,5/26/14 12:03
58,16109108,9820,2040,0,1,6,5/26/14 12:56
59,16758097,7470,2040,0,1,6,5/26/14 13:38
60,11555748,2810,2040,1,1,6,5/26/14 16:06
61,27852614,600,2040,0,1,6,5/26/14 19:13
62,23122082,3890,2040,0,1,6,5/27/14 7:44
63,11227580,2280,6238,1,0,7,5/27/14 8:32
64,12199140,9380,6238,0,0,7,5/27/14 8:32
65,13725758,9280,6238,1,0,7,5/27/14 8:32
66,18826291,2350,6238,0,0,7,5/27/14 8:32
67,22514262,5090,6238,0,1,7,5/27/14 8:32
68,25576269,8510,6238,0,1,7,5/27/14 8:32
69,26541545,2840,6238,0,1,7,5/27/14 8:32
70,5852983,3660,6238,0,1,7,5/27/14 9:02
71,93675,3270,6238,1,1,7,5/27/14 9:06
72,29395910,5320,6238,0,1,7,5/27/14 10:36
73,22789676,7450,6238,0,1,7,5/27/14 17:43
74,27852614,7090,6238,0,1,7,5/27/14 17:44
75,18826291,8290,3865,0,1,8,5/28/14 8:15
76,93675,7580,3865,0,1,8,5/28/14 8:18
77,11227580,640,3865,0,0,8,5/28/14 8:32
78,12199140,5480,3865,0,0,8,5/28/14 8:32
79,13725758,4990,3865,0,0,8,5/28/14 8:32
80,22514262,9620,3865,0,0,8,5/28/14 8:32
81,25576269,8010,3865,0,0,8,5/28/14 8:32
82,26541545,6280,3865,0,1,8,5/28/14 8:32
83,11555748,60,3865,0,1,8,5/28/14 8:44
84,27852614,6330,3865,0,1,8,5/28/14 17:33
85,11555748,7170,3174,1,1,9,5/29/14 8:21
86,11227580,7180,3174,1,0,9,5/29/14 8:32
87,12199140,2760,3174,0,0,9,5/29/14 8:32
88,13725758,7840,3174,0,0,9,5/29/14 8:32
89,18826291,2560,3174,0,0,9,5/29/14 8:32
90,22514262,2470,3174,0,1,9,5/29/14 8:32
91,25576269,270,3174,0,1,9,5/29/14 8:32
92,26541545,6850,3174,0,1,9,5/29/14 8:32
93,22789676,7590,3174,0,1,9,5/29/14 12:56
94,7241803,1510,3174,0,1,9,5/29/14 18:55
95,93675,9090,3174,0,1,9,5/29/14 19:48
96,27852614,6030,3174,0,1,9,5/29/14 20:38
97,3068475,4150,3174,1,1,9,5/29/14 23:09
98,11227580,610,7198,0,0,10,5/30/14 8:32
99,12199140,5060,7198,0,0,10,5/30/14 8:32
100,13725758,9560,7198,0,0,10,5/30/14 8:32
101,18826291,1030,7198,0,0,10,5/30/14 8:32
102,22514262,830,7198,0,1,10,5/30/14 8:32
103,25576269,100,7198,1,0,10,5/30/14 8:32
104,26541545,8590,7198,0,1,10,5/30/14 8:32
105,22789676,8960,7198,0,1,10,5/30/14 18:51
106,93675,4280,7198,0,1,10,5/30/14 21:10
107,27852614,5950,7198,0,1,10,5/31/14 7:18
108,11227580,8970,3195,0,0,11,5/31/14 8:32
109,12199140,6980,3195,0,1,11,5/31/14 8:32
110,13725758,9580,3195,0,0,11,5/31/14 8:32
111,18826291,5580,3195,0,0,11,5/31/14 8:32
112,22514262,1600,3195,0,1,11,5/31/14 8:32
113,25576269,9900,3195,0,1,11,5/31/14 8:32
114,26541545,8070,3195,0,1,11,5/31/14 8:32
115,16758097,8520,3195,0,1,11,5/31/14 11:14
116,11555748,1740,3195,0,1,11,5/31/14 14:02
117,22789676,2050,3195,0,1,11,5/31/14 17:46
118,93675,9940,3195,0,1,11,5/31/14 21:29
119,11227580,6110,586,0,0,12,6/1/14 8:32
120,12199140,4740,586,0,0,12,6/1/14 8:32
121,13725758,7280,586,0,0,12,6/1/14 8:32
122,18826291,4740,586,0,0,12,6/1/14 8:32
123,22514262,6630,586,0,1,12,6/1/14 8:32
124,25576269,4330,586,0,0,12,6/1/14 8:32
125,26541545,3650,586,0,1,12,6/1/14 8:32
126,7241803,1750,586,0,1,12,6/1/14 8:53
127,93675,5120,586,0,1,12,6/1/14 8:56
128,27852614,7060,586,0,1,12,6/1/14 9:30
129,22789676,8130,586,0,1,12,6/1/14 13:23
130,16758097,7730,586,0,1,12,6/1/14 18:38
131,11227580,7530,834,0,0,13,6/2/14 8:32
132,12199140,6300,834,0,0,13,6/2/14 8:32
133,13725758,6970,834,0,0,13,6/2/14 8:32
134,18826291,5880,834,1,0,13,6/2/14 8:32
135,22514262,9470,834,0,1,13,6/2/14 8:32
136,25576269,2530,834,0,0,13,6/2/14 8:32
137,26541545,840,834,2,1,13,6/2/14 8:32
138,7241803,7240,834,0,1,13,6/2/14 8:40
139,16758097,3850,834,1,1,13,6/2/14 12:07
140,22789676,1410,834,0,1,13,6/2/14 15:19
141,23122082,9720,834,0,1,13,6/2/14 15:43
142,93675,7930,834,0,1,13,6/2/14 19:12
143,11227580,4770,1671,0,0,14,6/3/14 8:32
144,12199140,6420,1671,0,0,14,6/3/14 8:32
145,13725758,4980,1671,0,0,14,6/3/14 8:32
146,18826291,3270,1671,0,0,14,6/3/14 8:32
147,22514262,8230,1671,0,0,14,6/3/14 8:32
148,25576269,9060,1671,0,0,14,6/3/14 8:32
149,26541545,7200,1671,0,1,14,6/3/14 8:32
150,27852614,7500,1671,0,1,14,6/3/14 8:42
151,11555748,7430,1671,0,1,14,6/3/14 14:59
152,17703941,4460,1671,0,1,2,6/3/14 15:49
153,26702122,2940,1671,0,1,2,6/3/14 15:50
154,3672396,1230,1671,1,1,2,6/3/14 15:54
155,24433466,5160,1671,0,1,2,6/3/14 15:54
156,14534873,1300,1671,1,1,2,6/3/14 15:56
157,3314125,8890,1671,0,1,2,6/3/14 15:59
158,28840947,4000,1671,0,1,2,6/3/14 16:27
159,22789676,180,1671,0,1,14,6/3/14 17:14
160,7416966,7800,1671,0,1,2,6/3/14 17:28
161,29180435,9490,1671,0,1,2,6/3/14 19:15
162,8266688,120,1671,0,1,2,6/3/14 20:15
163,23122082,4160,1671,0,1,14,6/3/14 23:12
164,25576269,570,6518,1,1,15,6/4/14 8:14
165,1726768,9230,6518,0,0,3,6/4/14 8:32
166,11227580,3870,6518,0,0,15,6/4/14 8:32
167,12199140,6700,6518,1,0,15,6/4/14 8:32
168,12385366,2460,6518,0,1,3,6/4/14 8:32
169,13473690,3940,6518,0,0,3,6/4/14 8:32
170,13725758,5980,6518,0,0,15,6/4/14 8:32
171,17703941,6140,6518,1,1,3,6/4/14 8:32
172,18826291,2480,6518,0,0,15,6/4/14 8:32
173,20586335,7180,6518,0,1,3,6/4/14 8:32
174,22514262,650,6518,0,1,15,6/4/14 8:32
175,26541545,3630,6518,0,0,15,6/4/14 8:32
176,26702122,1990,6518,0,1,3,6/4/14 8:32
177,28840947,8430,6518,0,0,3,6/4/14 8:32
178,16109108,2510,6518,1,1,15,6/4/14 10:12
179,3314125,2150,6518,0,1,3,6/4/14 10:15
180,93675,9380,6518,0,1,15,6/4/14 10:35
181,7416966,1800,6518,0,1,3,6/4/14 15:35
182,27852614,9160,6518,0,1,15,6/4/14 19:05
183,3672396,6090,6518,1,1,3,6/4/14 20:00
184,23122082,1280,6518,0,1,15,6/4/14 23:26
185,11555748,1140,209,0,1,16,6/5/14 8:15
186,1726768,7390,209,0,0,4,6/5/14 8:33
187,11227580,950,209,1,0,16,6/5/14 8:33
188,12199140,720,209,1,0,16,6/5/14 8:33
189,12385366,8900,209,0,1,4,6/5/14 8:33
190,13473690,590,209,1,0,4,6/5/14 8:33
191,13725758,7420,209,0,0,16,6/5/14 8:33
192,17703941,8600,209,0,1,4,6/5/14 8:33
193,18826291,7650,209,0,0,16,6/5/14 8:33
194,20586335,400,209,1,1,4,6/5/14 8:33
195,22514262,4680,209,0,1,16,6/5/14 8:33
196,25576269,3020,209,0,0,16,6/5/14 8:33
197,26541545,9270,209,1,1,16,6/5/14 8:33
198,26702122,8720,209,0,0,4,6/5/14 8:33
199,28840947,1590,209,0,1,4,6/5/14 8:33
200,24433466,7700,209,0,1,4,6/5/14 9:01
201,16758097,8180,209,0,1,16,6/5/14 9:02
202,22789676,1900,209,0,1,16,6/5/14 9:24
203,28518133,490,209,1,1,2,6/5/14 11:09
204,28575013,9070,209,0,1,2,6/5/14 11:11
205,24559367,6120,209,0,1,2,6/5/14 11:12
206,7694258,3510,209,0,1,2,6/5/14 11:12
207,24186114,3920,209,0,1,2,6/5/14 11:14
208,10489810,9070,209,0,1,2,6/5/14 11:16
209,12790115,7890,209,0,1,2,6/5/14 11:17
210,23729090,7320,209,0,1,2,6/5/14 11:18
211,24846916,2910,209,0,1,2,6/5/14 11:19
212,12232434,7990,209,0,1,2,6/5/14 11:19
213,21668167,2810,209,0,1,2,6/5/14 11:21
214,26575477,7590,209,0,1,2,6/5/14 11:38
215,8323186,4220,209,1,1,2,6/5/14 12:22
216,3314125,9050,209,0,1,4,6/5/14 14:06
217,20131972,4500,209,0,1,2,6/5/14 14:17
218,25714905,9070,209,0,1,2,6/5/14 14:17
219,571959,3060,209,0,1,2,6/5/14 14:17
